Date,Open,High,Low,Close,Volume,RSI_14,Buy_Sell
2025-02-06,1724.87451171875,1729.968496849874,1705.2405309143412,1716.6153952446862,13380358,,0
2025-02-07,1713.895263671875,1747.772575910087,1706.2295944792868,1730.9575596166678,11754800,,0
2025-02-10,1697.080322265625,1704.6964875672104,1689.9092120593446,1698.6135044686043,8597975,,0
2025-02-11,1682.886474609375,1692.3819893844604,1670.3245954632955,1684.4690402815525,11362352,,0
2025-02-12,1688.227783203125,1693.371151956651,1662.9062488232378,1674.5778973496554,11404785,,0
2025-02-13,1679.2266845703125,1695.5966465320512,1675.121938764568,1680.5125871127052,6301217,,0
2025-02-14,1676.40771484375,1683.3810496024255,1661.7193270831162,1683.3810496024255,9979946,,0
2025-02-17,1698.662841796875,1701.2840302942786,1662.9556836815443,1666.8626539426798,6469473,,0
2025-02-18,1704.3009033203125,1712.708411673349,1687.584774328812,1694.4097170226223,8175455,,0
2025-02-19,1708.4056396484375,1718.9892813739957,1693.816139939549,1698.3166779770647,5942056,,0
2025-02-20,1668.7420654296875,1696.0417162693425,1666.961724288724,1692.3820255278974,13195255,,0
2025-02-21,1674.083251953125,1676.5065442573723,1658.9991931098252,1662.609500194494,7840470,,0
2025-02-24,1658.850830078125,1665.873548202101,1643.0249319995226,1662.8073045977758,10346823,,0
2025-02-25,1664.043701171875,1669.6322455735317,1652.9161165968144,1652.9161165968144,12069354,,0
2025-02-27,1682.1939697265625,1692.1346600420295,1664.2415635700595,1664.2415635700595,17893400,35.81569957379253,0
2025-02-28,1713.5491943359375,1718.3463956986209,1666.6649456049367,1666.6649456049367,27258364,31.38606626560683,0
2025-03-03,1683.034912109375,1724.0833366917975,1675.665905612617,1720.8687010317285,10602682,55.71936784242057,0
2025-03-04,1691.392822265625,1695.646080583334,1674.825085556298,1679.5233989514802,9960479,48.88491519604249,0
2025-03-05,1671.6104736328125,1692.1841892974087,1669.8795160417726,1683.430392886249,10791936,52.051310153666414,0
2025-03-06,1672.79736328125,1681.4027677278386,1654.053613712989,1668.6431133704964,16483044,47.35798527298487,0
2025-03-07,1670.86865234375,1682.6391882357625,1659.3453961102166,1663.697542247854,6686457,45.65880931982494,0
2025-03-10,1669.1376953125,1681.402790525719,1664.7361656868547,1670.621373263889,7802025,50.86561856087906,0
2025-03-11,1667.159423828125,1675.5669320467778,1651.8775895392637,1664.0931802732557,9949215,42.26985299384047,0
2025-03-12,1692.5303955078125,1699.8003934086098,1673.1436941916788,1673.1436941916788,9392053,43.74542108640208,0
2025-03-13,1688.02978515625,1702.075341775916,1681.5511307463416,1697.3770284077002,7868132,51.13763184172971,0
2025-03-17,1691.78857421875,1705.2405637986876,1686.4473093252682,1686.4473093252682,9475326,55.93889436286923,0
2025-03-18,1691.78857421875,1691.78857421875,1691.78857421875,1691.78857421875,0,57.03990100650036,0
2025-03-19,1725.121826171875,1731.9467690561378,1713.3512900007588,1716.1208705382062,7610703,64.34666065045208,0
2025-03-20,1749.5035400390625,1754.6964127374115,1730.2652313867477,1734.9140405532244,8916989,65.51573010852039,0
2025-03-21,1751.086181640625,1754.7953765860927,1736.4472980343926,1736.4472980343926,16754132,65.38042180394216,0
2025-03-24,1780.41357421875,1784.765720437467,1754.3503218778967,1759.6420825195312,8696868,59.898971203302864,0
2025-03-25,1801.630126953125,1823.6380170403145,1781.8972580706345,1785.2602856480926,19550708,79.35204831431719,-1
2025-03-26,1786.892333984375,1807.6143212720528,1782.3917958589543,1805.1415246629256,12239221,81.03408702672392,-1
2025-03-27,1805.4876708984373,1820.967401638719,1778.534188174562,1780.4135377238968,20829050,77.12435060165782,-1
2025-03-28,1808.306640625,1816.021814276578,1786.199863276083,1809.0979838299893,14386824,81.64012367883407,-1
2025-04-01,1748.6134033203125,1790.205891374488,1746.1406066641075,1782.3918297924758,14255503,72.39399178913966,-1
2025-04-02,1777.3472900390625,1779.6221904423942,1751.4323094930462,1751.4323094930462,5786782,65.93861808723088,0
2025-04-03,1775.319580078125,1784.370039849937,1757.66383637103,1761.7191986768298,5625019,66.09163132571302,0
2025-04-04,1797.525390625,1821.907069020865,1791.3927824826333,1793.2721320866171,16770227,66.97006988398138,0
2025-04-07,1738.57373046875,1760.482731803054,1719.285917596287,1743.61833196747,18997725,58.897771994670464,0
2025-04-08,1749.8992919921875,1762.6094425558151,1731.254429500762,1745.7944254270562,17781936,58.48879594498461,0
2025-04-09,1745.79443359375,1755.6856201863493,1734.419569012261,1745.79443359375,11227304,55.05050141272153,0
2025-04-11,1787.090087890625,1799.6024627305007,1755.4382916750444,1755.4382916750444,16387883,53.60556368000732,0
2025-04-15,1844.607421875,1856.377958132873,1834.8151229464493,1844.7063095930607,24649172,64.53711127666323,0
2025-04-16,1857.5648193359373,1863.30175578618,1840.255243010922,1863.30175578618,9568410,64.09359317029634,0
2025-04-17,1885.9525146484373,1898.811057323367,1856.2789546293693,1861.5213318628807,17851542,61.08713538827752,0
2025-04-21,1906.1304931640625,1929.473668750272,1889.2165886912,1903.0642495507163,17123649,63.39284532413014,0
2025-04-22,1940.35400390625,1949.1571840237664,1913.9445842957227,1913.9445842957227,22980875,68.98199277996146,0
2025-04-23,1902.96533203125,1957.3668559844475,1899.6023045839213,1957.3668559844475,15285321,70.2294063219851,-1
