,Unnamed: 0.1,Unnamed: 0,Price,Close,High,Low,Open,Volume,SMA_20,SMA_50,Buy_Signal,Daily_Return,Strategy_Return,Total_Market_Return,Total_Strategy_Return
1970-01-01 00:00:00.000000000,1970-01-01 00:00:00.000000000,1970-01-01 00:00:00.000000000,Ticker,,HDFCBANK.NS,HDFCBANK.NS,HDFCBANK.NS,HDFCBANK.NS,,,0,,,,
1970-01-01 00:00:00.000000001,1970-01-01 00:00:00.000000001,1970-01-01 00:00:00.000000001,Date,,,,,,,,0,,,,
1970-01-01 00:00:00.000000002,1970-01-01 00:00:00.000000002,1970-01-01 00:00:00.000000002,2025-02-05,1718.890380859375,1725.2206434143388,1700.1960148503242,1714.1425632011333,11837753,,,0,,,,
1970-01-01 00:00:00.000000003,1970-01-01 00:00:00.000000003,1970-01-01 00:00:00.000000003,2025-02-06,1724.87451171875,1729.9684968498739,1705.2405309143412,1716.6153952446862,13380358,,,0,0.003481391789733168,0.0,1.0034813917897332,1.0
1970-01-01 00:00:00.000000004,1970-01-01 00:00:00.000000004,1970-01-01 00:00:00.000000004,2025-02-07,1713.895263671875,1747.772575910087,1706.2295944792868,1730.9575596166678,11754800,,,0,-0.006365244527808955,-0.0,0.9970939873518855,1.0
1970-01-01 00:00:00.000000005,1970-01-01 00:00:00.000000005,1970-01-01 00:00:00.000000005,2025-02-10,1697.080322265625,1704.6964875672104,1689.9092120593446,1698.6135044686043,8597975,,,0,-0.009810950390413797,-0.0,0.9873115477073963,1.0
1970-01-01 00:00:00.000000006,1970-01-01 00:00:00.000000006,1970-01-01 00:00:00.000000006,2025-02-11,1682.886474609375,1692.3819893844604,1670.3245954632957,1684.4690402815525,11362352,,,0,-0.008363686426639538,-0.0,0.9790539835169715,1.0
1970-01-01 00:00:00.000000007,1970-01-01 00:00:00.000000007,1970-01-01 00:00:00.000000007,2025-02-12,1688.227783203125,1693.371151956651,1662.9062488232378,1674.5778973496554,11404785,,,0,0.0031738971548807005,0.0,0.9821614001697306,1.0
1970-01-01 00:00:00.000000008,1970-01-01 00:00:00.000000008,1970-01-01 00:00:00.000000008,2025-02-13,1679.2266845703125,1695.5966465320512,1675.1219387645679,1680.5125871127052,6301217,,,0,-0.005331684931599967,-0.0,0.9769248250320466,1.0
1970-01-01 00:00:00.000000009,1970-01-01 00:00:00.000000009,1970-01-01 00:00:00.000000009,2025-02-14,1676.40771484375,1683.3810496024255,1661.7193270831162,1683.3810496024255,9979946,,,0,-0.0016787309018281293,-0.0,0.9752848311395023,1.0
1970-01-01 00:00:00.000000010,1970-01-01 00:00:00.000000010,1970-01-01 00:00:00.000000010,2025-02-17,1698.662841796875,1701.2840302942786,1662.9556836815443,1666.8626539426798,6469473,,,0,0.013275485883336824,0.0,0.9882322111475272,1.0
1970-01-01 00:00:00.000000011,1970-01-01 00:00:00.000000011,1970-01-01 00:00:00.000000011,2025-02-18,1704.3009033203125,1712.708411673349,1687.584774328812,1694.4097170226223,8175455,,,0,0.0033191174756455055,0.0,0.9915122699495428,1.0
1970-01-01 00:00:00.000000012,1970-01-01 00:00:00.000000012,1970-01-01 00:00:00.000000012,2025-02-19,1708.4056396484375,1718.9892813739957,1693.816139939549,1698.3166779770647,5942056,,,0,0.0024084575206926306,0.0,0.9939002851329618,1.0
1970-01-01 00:00:00.000000013,1970-01-01 00:00:00.000000013,1970-01-01 00:00:00.000000013,2025-02-20,1668.7420654296875,1696.0417162693425,1666.961724288724,1692.3820255278974,13195255,,,0,-0.023216719319020807,-0.0,0.9708251811819351,1.0
1970-01-01 00:00:00.000000014,1970-01-01 00:00:00.000000014,1970-01-01 00:00:00.000000014,2025-02-21,1674.083251953125,1676.5065442573725,1658.9991931098252,1662.6095001944939,7840470,,,0,0.0032007262440898465,0.0,0.9739325268177673,1.0
1970-01-01 00:00:00.000000015,1970-01-01 00:00:00.000000015,1970-01-01 00:00:00.000000015,2025-02-24,1658.850830078125,1665.873548202101,1643.0249319995226,1662.8073045977758,10346823,,,0,-0.009098963183120423,-0.0,0.965070750613409,1.0
1970-01-01 00:00:00.000000016,1970-01-01 00:00:00.000000016,1970-01-01 00:00:00.000000016,2025-02-25,1664.043701171875,1669.6322455735317,1652.9161165968144,1652.9161165968144,12069354,,,0,0.0031304026857590372,0.0,0.9680918106830767,1.0
1970-01-01 00:00:00.000000017,1970-01-01 00:00:00.000000017,1970-01-01 00:00:00.000000017,2025-02-27,1682.1939697265625,1692.1346600420295,1664.2415635700595,1664.2415635700595,17893400,,,0,0.010907326858005773,0.0,0.9786511044907557,1.0
1970-01-01 00:00:00.000000018,1970-01-01 00:00:00.000000018,1970-01-01 00:00:00.000000018,2025-02-28,1713.5491943359375,1718.3463956986209,1666.6649456049367,1666.6649456049367,27258364,,,0,0.01863948223192824,0.0,0.9968926543641681,1.0
1970-01-01 00:00:00.000000019,1970-01-01 00:00:00.000000019,1970-01-01 00:00:00.000000019,2025-03-03,1683.034912109375,1724.0833366917977,1675.665905612617,1720.8687010317285,10602682,,,0,-0.01780764878383778,-0.0,0.9791403401000632,1.0
1970-01-01 00:00:00.000000020,1970-01-01 00:00:00.000000020,1970-01-01 00:00:00.000000020,2025-03-04,1691.392822265625,1695.646080583334,1674.825085556298,1679.5233989514802,9960479,,,0,0.004965975510142551,0.0,0.9840027270499928,1.0
1970-01-01 00:00:00.000000021,1970-01-01 00:00:00.000000021,1970-01-01 00:00:00.000000021,2025-03-05,1671.6104736328125,1692.1841892974087,1669.8795160417726,1683.4303928862487,10791936,1690.0179870605468,,0,-0.011695892504920313,-0.0,0.9724939369298676,1.0
1970-01-01 00:00:00.000000022,1970-01-01 00:00:00.000000022,1970-01-01 00:00:00.000000022,2025-03-06,1672.79736328125,1681.4027677278386,1654.053613712989,1668.6431133704964,16483044,1687.713336181641,,0,0.0007100276452911558,0.0,0.9731844345099658,1.0
1970-01-01 00:00:00.000000023,1970-01-01 00:00:00.000000023,1970-01-01 00:00:00.000000023,2025-03-07,1670.86865234375,1682.6391882357625,1659.3453961102166,1663.697542247854,6686457,1685.0130432128906,,0,-0.0011529854002858553,-0.0,0.9720623670651904,1.0
1970-01-01 00:00:00.000000024,1970-01-01 00:00:00.000000024,1970-01-01 00:00:00.000000024,2025-03-10,1669.1376953125,1681.402790525719,1664.7361656868547,1670.621373263889,7802025,1682.775164794922,,0,-0.001035962359352438,-0.0,0.9710553470419678,1.0
1970-01-01 00:00:00.000000025,1970-01-01 00:00:00.000000025,1970-01-01 00:00:00.000000025,2025-03-11,1667.159423828125,1675.5669320467778,1651.8775895392637,1664.0931802732555,9949215,1681.279119873047,,0,-0.0011852056843066894,-0.0,0.9699044467248773,1.0
1970-01-01 00:00:00.000000026,1970-01-01 00:00:00.000000026,1970-01-01 00:00:00.000000026,2025-03-12,1692.5303955078125,1699.8003934086098,1673.1436941916788,1673.1436941916788,9392053,1681.761315917969,,0,0.015218083715971664,0.0,0.9846645337916297,1.0
1970-01-01 00:00:00.000000027,1970-01-01 00:00:00.000000027,1970-01-01 00:00:00.000000027,2025-03-13,1688.02978515625,1702.075341775916,1681.5511307463416,1697.3770284077002,7868132,1681.751416015625,,0,-0.0026591016406604107,-0.0,0.9820462107143242,1.0
